patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
AA,NUE041,mouth,truth,0:mouth,body part,0.25725994228403687,0.13196113937022194,0.04627447690746845,0.02788137879439991,0.3487265394658743
AA,NUE041,nose,predicted,0:mouth,body part,0.2957579596700937,0.15763661152562145,0.04627447690746845,0.02788137879439991,0.3487265394658743
AA,NUE041,ear,neighbor,0:mouth,,0.09548536160965426,0.3150808148710061,,,
AA,NUE041,tail,neighbor,0:mouth,,-0.16113280503332664,0.3164943581801858,,,
AA,NUE041,neck,neighbor,0:mouth,,0.12049942946932013,0.40359978234383226,,,
AA,NUE041,pig,neighbor,0:mouth,,-0.22416425503768464,0.0006127746170639086,,,
AA,NUE041,duck,neighbor,0:mouth,,-0.3030659406771131,-0.16940133800595114,,,
AA,NUE041,bite,neighbor,0:mouth,,0.11051749496849733,0.03615310830447167,,,
AA,NUE041,cheek,neighbor,0:mouth,,0.27447624181099267,0.2687697464939716,,,
AA,NUE041,tongue,neighbor,0:mouth,,0.22715158815800734,0.21320851497994797,,,
AA,NUE041,cow,neighbor,0:mouth,,-0.21615615279098346,-0.04616551227186397,,,
AA,NUE041,dog,neighbor,0:mouth,,-0.3574939179072621,0.20508999334111858,,,
AA,NUE041,chin,neighbor,0:mouth,,0.2880680083192817,0.377240063399582,,,
AA,NUE041,shoulder,neighbor,0:mouth,,0.11531959670121297,0.506842310729195,,,
AA,NUE041,head,neighbor,0:mouth,,0.4023399434398742,0.24531112361351265,,,
AA,NUE041,monkey,neighbor,0:mouth,,-0.2733470361006601,0.08339198432855713,,,
AA,NUE041,frog,neighbor,0:mouth,,-0.3260734948482521,0.0886727345382134,,,
AA,NUE041,skull,neighbor,0:mouth,,-0.16294168649588608,0.37826551980428774,,,
AA,NUE041,mouse,neighbor,0:mouth,,-0.5120385855023145,0.33259136676290835,,,
AA,NUE041,jaw,neighbor,0:mouth,,0.3027737916969725,0.4702545759187875,,,
AA,NUE041,throat,neighbor,0:mouth,,0.37802625133450163,0.2639353978806939,,,
AA,NUE041,forehead,neighbor,0:mouth,,0.33827740021776975,0.3887216446543352,,,
AA,NUE041,belly,neighbor,0:mouth,,0.06216136886584846,0.16106620101973373,,,
AA,NUE041,foot,neighbor,0:mouth,,-0.12423318041003582,0.5226687298335431,,,
