patient,display_id,label,role,trial_group,category,x,y,pair_dist_2d,pair_dist_frac,pair_cos_dist
RB,NUE031,mango,truth,0:mango,food/fruit,0.5315423139721591,0.11081314775553401,0.09713063652172796,0.05448102715220015,0.339828212977783
RB,NUE031,pear,predicted,0:mango,food/fruit,0.5008876108424901,0.0186467236784988,0.09713063652172796,0.05448102715220015,0.339828212977783
RB,NUE031,strawberry,neighbor,0:mango,,0.4259278611128753,-0.008012102793479688,,,
RB,NUE031,pineapple,neighbor,0:mango,,0.4799845395322154,0.13833299829052753,,,
RB,NUE031,fig,neighbor,0:mango,,0.6005705137484314,-0.05611200421906352,,,
RB,NUE031,fruit,neighbor,0:mango,,0.4183896231813403,-0.0927465793847298,,,
RB,NUE031,watermelon,neighbor,0:mango,,0.49803793476586156,-0.045237317617545986,,,
RB,NUE031,grape,neighbor,0:mango,,0.5160820501223651,-0.13117578052656928,,,
RB,NUE031,lemon,neighbor,0:mango,,0.4444821745348924,0.18047338826971274,,,
RB,NUE031,cherry,neighbor,0:mango,,0.325011391166414,0.01781909956682786,,,
RB,NUE031,citrus,neighbor,0:mango,,0.5719793704645926,0.11481645476227732,,,
RB,NUE031,banana,neighbor,0:mango,,0.36113429669655833,0.13023211870139628,,,
RB,NUE031,orange,neighbor,0:mango,,0.24432458846757676,0.10033527127244643,,,
RB,NUE031,ginger,neighbor,0:mango,,0.4187378602176513,0.2815888956568239,,,
RB,NUE031,tomato,neighbor,0:mango,,0.5230057987889902,0.04390494717090546,,,
RB,NUE031,kiwi,neighbor,0:mango,,0.6041473370978554,-0.19733990262682152,,,
RB,NUE031,honey,neighbor,0:mango,,0.34098101557373567,-0.02024611541350451,,,
RB,NUE031,carrot,neighbor,0:mango,,0.38057018463913733,0.21048901103428347,,,
RB,NUE031,pumpkin,neighbor,0:mango,,0.330268851802701,-0.12561304075122265,,,
RB,NUE031,coconut,neighbor,0:mango,,0.44984833795967105,0.24995446761101905,,,
RB,NUE031,cinnamon,neighbor,0:mango,,0.4967582990927072,0.26105328197270955,,,
RB,NUE031,lavender,neighbor,0:mango,,0.33604034270047484,0.37104210406374016,,,
