patient,display_id,label,role,trial_group,category,x,y
AA,NUE041,cherry,truth,0:cherry,food/fruit,-0.3457049297788351,0.35908577043861245
AA,NUE041,nut,predicted,0:cherry,food/fruit,-0.2809922238848591,0.48935696025443715
AA,NUE041,banana,neighbor,0:cherry,,-0.38150110938683574,0.1862048705667685
AA,NUE041,cake,neighbor,0:cherry,,-0.4722446728939659,0.05422652270574406
AA,NUE041,fruit,neighbor,0:cherry,,-0.3749833388422237,0.27251598949425604
AA,NUE041,pumpkin,neighbor,0:cherry,,-0.44619682010931183,0.04413417510218086
AA,NUE041,cookie,neighbor,0:cherry,,-0.5906639648874558,0.03474752408869843
AA,NUE041,chocolate,neighbor,0:cherry,,-0.4575137212307698,0.134420003263787
AA,NUE041,coconut,neighbor,0:cherry,,-0.5149480376533099,0.198440069863151
AA,NUE041,leaf,neighbor,0:cherry,,-0.24026660017951468,0.37474162828031915
AA,NUE041,tree,neighbor,0:cherry,,-0.1738002907966932,-0.04266143376956517
AA,NUE041,candy,neighbor,0:cherry,,-0.39671892052691393,0.08492171169761208
AA,NUE041,peanut,neighbor,0:cherry,,-0.5207348731124803,0.11607493996506887
AA,NUE041,peach,neighbor,0:cherry,,-0.39579459395789435,0.3256723638943022
AA,NUE041,butter,neighbor,0:cherry,,-0.4828516601406879,0.2039138679872911
AA,NUE041,cupcake,neighbor,0:cherry,,-0.6026231700754302,-0.010391367561023547
AA,NUE041,raspberry,neighbor,0:cherry,,-0.4998074705917217,0.3639675586761048
AA,NUE041,pineapple,neighbor,0:cherry,,-0.4807794423769915,0.2791718475956982
AA,NUE041,cinnamon,neighbor,0:cherry,,-0.5419556008428792,0.2776069128619855
AA,NUE041,flower,neighbor,0:cherry,,-0.44818307971709587,-0.14072018555075094
AA,NUE041,honey,neighbor,0:cherry,,-0.324093949993354,0.2468278899387757
AA,NUE041,caramel,neighbor,0:cherry,,-0.5255903955642512,0.3269564494213693
AA,NUE041,orange,neighbor,0:cherry,,-0.264888981105119,0.1862445790436362
AA,NUE041,dessert,neighbor,0:cherry,,-0.5976486483152373,0.12000799447006998
AA,NUE041,mouth,truth,1:mouth,body part,0.06812254260311254,0.31674225918586174
AA,NUE041,head,predicted,1:mouth,body part,0.33044924667490533,0.1786526983851869
AA,NUE041,neck,neighbor,1:mouth,,0.25980334502859415,0.3584140913716024
AA,NUE041,eye,neighbor,1:mouth,,0.1862338961640887,0.2402368053085399
AA,NUE041,throat,neighbor,1:mouth,,0.16555959460526282,0.48644232291552125
AA,NUE041,foot,neighbor,1:mouth,,0.40917145070645505,0.11399064670538867
AA,NUE041,hand,neighbor,1:mouth,,0.22754434813953825,0.167794529665859
AA,NUE041,tail,neighbor,1:mouth,,0.12725806615467627,0.06618097461506074
AA,NUE041,tongue,neighbor,1:mouth,,0.04983720277463213,0.4313867239829773
AA,NUE041,forehead,neighbor,1:mouth,,0.18234416355974084,0.538280803907028
AA,NUE041,hair,neighbor,1:mouth,,-0.047158274675927855,0.5082798358056799
AA,NUE041,arm,neighbor,1:mouth,,0.4463568992647796,0.33070062174193776
AA,NUE041,ear,neighbor,1:mouth,,0.12375015579709807,0.4407963377363429
AA,NUE041,teeth,neighbor,1:mouth,,-0.008140557368332309,0.46437097884615397
AA,NUE041,shoulder,neighbor,1:mouth,,0.3879640332850361,0.3677714479357156
AA,NUE041,lip,neighbor,1:mouth,,-0.07062099597108998,0.5590064256408628
AA,NUE041,breath,neighbor,1:mouth,,0.23738787298106245,0.41305981082699234
AA,NUE041,red,neighbor,1:mouth,,-0.1182285176127808,0.13553684399671947
AA,NUE041,chest,neighbor,1:mouth,,0.31888319267206444,0.4047553518234359
AA,NUE041,sky,neighbor,1:mouth,,0.33378500590387505,-0.319388462008081
AA,NUE041,chin,neighbor,1:mouth,,0.13855794795803625,0.5389276462320897
AA,NUE041,finger,neighbor,1:mouth,,0.13214330911542346,0.3520908387228139
AA,NUE041,cheek,neighbor,1:mouth,,0.056486489862373875,0.5081591236232174
AA,NUE041,skull,neighbor,1:mouth,,0.10436311217409903,0.18077207393489345
AA,NUE041,lemon,truth,2:lemon,food/fruit,-0.4451547508026776,0.33066508856223026
AA,NUE041,bat,predicted,2:lemon,food/fruit,0.5691407837541363,0.0711783312739295
AA,NUE041,boat,neighbor,2:lemon,,0.37179152107359287,-0.4632766536168933
AA,NUE041,ball,neighbor,2:lemon,,0.472888544587768,0.17591056639878613
AA,NUE041,beach,neighbor,2:lemon,,0.17870098648563282,-0.5342502632097169
