patient,display_id,label,role,trial_group,category,x,y
PV,NUE050,head,truth,0:head,body part,-0.16952746949193503,-0.29799023002938013
PV,NUE050,mouth,predicted,0:head,body part,0.15966410020788205,-0.3395856392143913
PV,NUE050,nose,neighbor,0:head,,0.07977235404174937,-0.31670394514578687
PV,NUE050,neck,neighbor,0:head,,-0.04339805188645518,-0.456599487162805
PV,NUE050,tongue,neighbor,0:head,,0.2029901031351612,-0.4346472276154239
PV,NUE050,bite,neighbor,0:head,,0.33748392151801365,-0.18869955232340796
PV,NUE050,foot,neighbor,0:head,,-0.2888102191462919,-0.2809777337220466
PV,NUE050,jaw,neighbor,0:head,,-0.005255879175508259,-0.5798079851109814
PV,NUE050,nail,neighbor,0:head,,0.4106106168050388,-0.40786012977666986
PV,NUE050,arm,neighbor,0:head,,-0.2296416939056364,-0.47558360327439925
PV,NUE050,hand,neighbor,0:head,,-0.07973217323424488,-0.24159133249804873
PV,NUE050,teeth,neighbor,0:head,,0.298017696664029,-0.4159495358878041
PV,NUE050,shoulder,neighbor,0:head,,-0.1711666261269634,-0.4883104018287993
PV,NUE050,throat,neighbor,0:head,,0.1416283408609042,-0.5348937827569115
PV,NUE050,lip,neighbor,0:head,,0.2997019045353059,-0.481597956921105
PV,NUE050,skull,neighbor,0:head,,0.2119176137928303,-0.32357743197856653
PV,NUE050,tooth,neighbor,0:head,,0.35327472477786287,-0.3856063014540199
PV,NUE050,bottom,neighbor,0:head,,-0.12855595980766174,-0.3355322148630067
PV,NUE050,cheek,neighbor,0:head,,0.20365426590353777,-0.499605678659776
PV,NUE050,chin,neighbor,0:head,,0.05946753806672152,-0.5508912772033934
PV,NUE050,brush,neighbor,0:head,,0.16866670809445056,-0.19927477352679523
PV,NUE050,butt,neighbor,0:head,,0.10376495457825508,-0.3806997161309713
PV,NUE050,belly,neighbor,0:head,,0.2242744640058835,-0.2238180317635315
PV,NUE050,hole,neighbor,0:head,,-0.2508413496826718,-0.380305419469381
PV,NUE050,apple,truth,1:apple,food/fruit,0.3547694662228514,0.4307787551671999
