patient,display_id,label,role,trial_group,category,x,y
WBH,NUEx036,apple,truth,0:apple,food/fruit,-0.43304679206112706,0.27950534388695336
WBH,NUEx036,strawberry,predicted,0:apple,food/fruit,-0.31256531534860926,0.3332216600283289
WBH,NUEx036,peach,neighbor,0:apple,,-0.2631235980150833,0.36240532158156463
WBH,NUEx036,fruit,neighbor,0:apple,,-0.3267884062997771,0.28941799033479787
WBH,NUEx036,pineapple,neighbor,0:apple,,-0.28215464538066054,0.3971242097350511
WBH,NUEx036,pear,neighbor,0:apple,,-0.1343932379358083,0.5495689391827239
WBH,NUEx036,mango,neighbor,0:apple,,-0.3618957728714517,0.41670176372578677
WBH,NUEx036,tomato,neighbor,0:apple,,-0.15354881397365513,0.4767997031987063
WBH,NUEx036,pumpkin,neighbor,0:apple,,-0.32961578673211844,0.2168803998604656
WBH,NUEx036,coconut,neighbor,0:apple,,-0.34615170799771733,0.37789214960923473
WBH,NUEx036,salad,neighbor,0:apple,,-0.373302186111237,0.3105936059510565
WBH,NUEx036,honey,neighbor,0:apple,,-0.15841392900259277,0.2645107493653415
WBH,NUEx036,cinnamon,neighbor,0:apple,,-0.25232157111137965,0.4945908642193275
WBH,NUEx036,butter,neighbor,0:apple,,-0.10332400263813835,0.35347231487281666
WBH,NUEx036,juice,neighbor,0:apple,,-0.14008453649192873,0.34807371807345805
WBH,NUEx036,carrot,neighbor,0:apple,,-0.14542409488908253,0.388640170985584
WBH,NUEx036,garlic,neighbor,0:apple,,-0.06351904586490661,0.5085160446001997
WBH,NUEx036,lime,neighbor,0:apple,,-0.19843523776472652,0.4704697163841395
WBH,NUEx036,olive,neighbor,0:apple,,0.005074152398189192,0.5123397554434834
WBH,NUEx036,ginger,neighbor,0:apple,,-0.13519140718302392,0.45784680191410204
WBH,NUEx036,orange,neighbor,0:apple,,-0.02087222443613664,0.2686636485794435
WBH,NUEx036,potato,neighbor,0:apple,,-0.21623998855349708,0.3404935067284088
WBH,NUEx036,leaf,neighbor,0:apple,,0.15164290512542225,0.37993924574983523
WBH,NUEx036,nut,neighbor,0:apple,,-0.46611999840928087,0.10292597679178282
WBH,NUEx036,lemon,truth,1:lemon,food/fruit,-0.20582216834040384,0.44355384955570126
WBH,NUEx036,cherry,predicted,1:lemon,food/fruit,-0.007424763622063735,0.35365076036823173
WBH,NUEx036,citrus,neighbor,1:lemon,,-0.35235221555425494,0.49920377626080153
WBH,NUEx036,basil,neighbor,1:lemon,,-0.1837114100079997,0.5923403483492911
WBH,NUEx036,grape,truth,2:grape,food/fruit,-0.01181551925283442,0.5719642967463372
WBH,NUEx036,banana,predicted,2:grape,food/fruit,-0.25123559246886157,0.23889692409472252
WBH,NUEx036,pine,neighbor,2:grape,,0.16433564613008714,0.4814500483749272
WBH,NUEx036,cheese,neighbor,2:grape,,-0.07314147996281428,0.43879762165898395
WBH,NUEx036,duck,neighbor,2:grape,,-0.2602050805513763,-0.06269653719158705
WBH,NUEx036,mushroom,neighbor,2:grape,,0.05575654337649512,0.4947466063432579
WBH,NUEx036,chicken,neighbor,2:grape,,-0.2380976726959098,0.1502950766904663
WBH,NUEx036,head,truth,3:head,body part,0.20286131127359097,-0.38164883088561136
WBH,NUEx036,foot,predicted,3:head,body part,0.30423957766713994,-0.41149446748451074
WBH,NUEx036,mouth,neighbor,3:head,,0.1746325241020026,-0.09241479042063236
WBH,NUEx036,neck,neighbor,3:head,,0.36819568018028936,-0.22279381833877512
WBH,NUEx036,nose,neighbor,3:head,,0.2227596936945627,-0.03342517256125333
WBH,NUEx036,nail,neighbor,3:head,,0.14071289304105306,-0.4021423710811636
WBH,NUEx036,tongue,neighbor,3:head,,0.31072769472733863,-0.05299121033653099
WBH,NUEx036,shoulder,neighbor,3:head,,0.42411667589492597,-0.30459562952520924
WBH,NUEx036,rope,neighbor,3:head,,0.49957124672516195,-0.035339137496695885
WBH,NUEx036,butt,neighbor,3:head,,0.20796911658943248,-0.22066142801152502
WBH,NUEx036,bite,neighbor,3:head,,6.733534728749949e-05,-0.01582600202778718
WBH,NUEx036,hand,neighbor,3:head,,0.13232181605193863,-0.2356118990789332
WBH,NUEx036,lip,neighbor,3:head,,0.4544735964249915,0.1557151895211061
WBH,NUEx036,bottom,neighbor,3:head,,0.3855609824773471,0.07325311579059217
WBH,NUEx036,arm,neighbor,3:head,,0.36398404916487426,-0.4080453335251187
WBH,NUEx036,heel,neighbor,3:head,,0.6001323480544307,-0.18470226256344405
WBH,NUEx036,red,neighbor,3:head,,0.0928024188224884,0.19181242134317522
WBH,NUEx036,thigh,neighbor,3:head,,0.5085851521578856,-0.21531042007739262
WBH,NUEx036,chest,neighbor,3:head,,0.377207725118849,-0.3093324705339556
WBH,NUEx036,tree,truth,4:tree,nature,-0.46886345302471694,-0.04245589676176943
WBH,NUEx036,crab,predicted,4:tree,nature,-0.3727092398770398,0.09196976057998536
WBH,NUEx036,bird,neighbor,4:tree,,-0.3799979395223772,-0.23895403437657975
WBH,NUEx036,fish,neighbor,4:tree,,-0.37487580751650623,-0.021220577251666765
WBH,NUEx036,frog,neighbor,4:tree,,-0.34758953859312863,-0.19204654104016944
WBH,NUEx036,deer,neighbor,4:tree,,-0.4706257522849896,-0.29325049044757745
WBH,NUEx036,tail,neighbor,4:tree,,0.30825647454939714,0.02009421206505458
WBH,NUEx036,cake,neighbor,4:tree,,-0.38962494191081387,0.16806281197843279
WBH,NUEx036,cat,truth,5:cat,animal,-0.3166371443792758,-0.3483197931582813
WBH,NUEx036,boat,predicted,5:cat,animal,-0.30650913945085073,-0.5396465981685685
WBH,NUEx036,fly,neighbor,5:cat,,-0.17889229807697207,-0.583313731435027
WBH,NUEx036,monkey,neighbor,5:cat,,-0.28662174618850167,-0.2776429709815915
WBH,NUEx036,snake,neighbor,5:cat,,-0.18914741345149616,-0.2705965747659148
WBH,NUEx036,bed,neighbor,5:cat,,0.4349673870602537,0.21831967229240964
WBH,NUEx036,corner,neighbor,5:cat,,0.1749863576732785,-0.5224700836750966
WBH,NUEx036,dog,neighbor,5:cat,,-0.24821577202069794,-0.3803588251151026
WBH,NUEx036,wall,neighbor,5:cat,,0.5245409270742728,0.053218905866816026
WBH,NUEx036,rabbit,neighbor,5:cat,,-0.2824329796125103,-0.17178810478575685
WBH,NUEx036,brush,neighbor,5:cat,,0.3383959105139576,0.2907281589301437
WBH,NUEx036,truck,neighbor,5:cat,,-0.40131385073828996,-0.506764178736445
WBH,NUEx036,couch,neighbor,5:cat,,-0.03169758356612649,-0.4471961126385628
WBH,NUEx036,mouse,neighbor,5:cat,,0.4590023195573941,0.39680128166145245
WBH,NUEx036,cage,neighbor,5:cat,,0.03296466042791645,-0.4825916323640485
WBH,NUEx036,toe,truth,6:toe,body part,0.5005418123721388,-0.23389507710190108
WBH,NUEx036,leg,predicted,6:toe,body part,0.36314364764611035,-0.2891018361725765
WBH,NUEx036,ankle,neighbor,6:toe,,0.5430398127863532,-0.35884002762051165
WBH,NUEx036,knee,neighbor,6:toe,,0.49457082821610326,-0.3787598462507892
WBH,NUEx036,elbow,neighbor,6:toe,,0.5059241723556913,-0.2994618811309161
WBH,NUEx036,stomach,neighbor,6:toe,,0.3670216031414653,-0.06553718418426846
WBH,NUEx036,belly,neighbor,6:toe,,0.18768296925987252,0.010587035607986309
WBH,NUEx036,key,truth,7:key,object/tool,0.5904442521756827,0.3993576806419041
WBH,NUEx036,finger,predicted,7:key,object/tool,0.2666862192335942,-0.14282231531434478
WBH,NUEx036,wood,neighbor,7:key,,-0.42179456290280887,-0.12116538764713336
WBH,NUEx036,bus,truth,8:bus,vehicle,-0.14103646740963063,-0.7362834103816732
WBH,NUEx036,knife,predicted,8:bus,vehicle,-0.041496201041617185,-0.2597064455596273
WBH,NUEx036,door,neighbor,8:bus,,0.5860026325638414,0.003203119369590758
WBH,NUEx036,chair,neighbor,8:bus,,0.08176171079794746,-0.5791346503173527
WBH,NUEx036,bag,neighbor,8:bus,,-0.06502558905557929,-0.1929630837486984
WBH,NUEx036,toy,neighbor,8:bus,,-0.34574457502385303,-0.4306287330808869
WBH,NUEx036,towel,neighbor,8:bus,,0.3264083944555421,0.20801979702569345
WBH,NUEx036,picnic,neighbor,8:bus,,-0.6127892911675455,-0.101496600141226
WBH,NUEx036,canoe,neighbor,8:bus,,0.6002496164165156,0.27002781864971664
WBH,NUEx036,stand,neighbor,8:bus,,-0.021770458532627386,-0.38559159808225324
WBH,NUEx036,saw,neighbor,8:bus,,-0.04197990557483399,-0.5908488881767416
WBH,NUEx036,porch,neighbor,8:bus,,-0.5326159553602275,-0.2648626218489427
WBH,NUEx036,kitchen,neighbor,8:bus,,-0.5454338861346285,-0.11133716200432055
WBH,NUEx036,ear,truth,9:ear,body part,0.2551141200289361,-0.3193551281003058
