display_id,patient,task,variant,N,median_percentile,top1,top5,top10,top50,top100,median_rank,chance_median_percentile
NUEx041,AA,auditory_naming,matched,200,0.165,0.0392156862745098,0.1568627450980392,0.2745098039215686,0.5490196078431373,0.7450980392156863,33.0,0.5
NUEx044,AZ,auditory_naming,matched,200,0.195,0.0105263157894736,0.1052631578947368,0.1684210526315789,0.5789473684210527,0.8315789473684211,39.0,0.5
NUEx030,CP,auditory_naming,matched,200,0.29,0.0089285714285714,0.0892857142857142,0.1517857142857142,0.4196428571428571,0.7053571428571429,58.0,0.5
NUEx045,DR,auditory_naming,matched,200,0.2,0.0444444444444444,0.1333333333333333,0.1777777777777777,0.6,0.8444444444444444,40.0,0.5
NUEx047,KAW,auditory_naming,matched,200,0.2625,0.0166666666666666,0.0583333333333333,0.1083333333333333,0.4916666666666666,0.7916666666666666,52.5,0.5
NUEx038,LH,auditory_naming,matched,200,0.215,0.0239520958083832,0.1137724550898203,0.1676646706586826,0.5748502994011976,0.7904191616766467,43.0,0.5
NUEx031,RB,auditory_naming,matched,200,0.2725,0.0273972602739726,0.1095890410958904,0.1506849315068493,0.4726027397260274,0.7602739726027398,54.5,0.5
NUEx036,WBH,auditory_naming,matched,200,0.1875,0.0135135135135135,0.1036036036036036,0.1756756756756756,0.5855855855855856,0.7972972972972973,37.5,0.5
NUEx041,AA,auditory_naming,matched,500,0.078,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.5490196078431373,0.6862745098039216,39.0,0.5
NUEx044,AZ,auditory_naming,matched,500,0.112,0.031578947368421,0.1052631578947368,0.1263157894736842,0.4526315789473684,0.7684210526315789,56.0,0.5
NUEx030,CP,auditory_naming,matched,500,0.177,0.0178571428571428,0.0625,0.125,0.3571428571428571,0.5714285714285714,88.5,0.5
NUEx045,DR,auditory_naming,matched,500,0.09,0.0,0.1111111111111111,0.2,0.5111111111111111,0.7333333333333333,45.0,0.5
NUEx047,KAW,auditory_naming,matched,500,0.136,0.025,0.05,0.1,0.3916666666666666,0.6916666666666667,68.0,0.5
NUEx038,LH,auditory_naming,matched,500,0.12,0.0179640718562874,0.1077844311377245,0.1676646706586826,0.4610778443113772,0.6706586826347305,60.0,0.5
NUEx031,RB,auditory_naming,matched,500,0.163,0.0342465753424657,0.0890410958904109,0.1438356164383561,0.3561643835616438,0.547945205479452,81.5,0.5
NUEx036,WBH,auditory_naming,matched,500,0.1,0.018018018018018,0.072072072072072,0.1351351351351351,0.5,0.7252252252252253,50.0,0.5
NUEx041,AA,auditory_naming,matched,1000,0.048,0.0588235294117647,0.196078431372549,0.2352941176470588,0.5294117647058824,0.6078431372549019,48.0,0.5
NUEx044,AZ,auditory_naming,matched,1000,0.074,0.0421052631578947,0.1052631578947368,0.1263157894736842,0.4,0.6526315789473685,74.0,0.5
NUEx030,CP,auditory_naming,matched,1000,0.1125,0.0178571428571428,0.0892857142857142,0.1160714285714285,0.3482142857142857,0.4732142857142857,112.5,0.5
NUEx045,DR,auditory_naming,matched,1000,0.057,0.0,0.0888888888888888,0.2,0.4666666666666667,0.6222222222222222,57.0,0.5
NUEx047,KAW,auditory_naming,matched,1000,0.094,0.025,0.0416666666666666,0.0916666666666666,0.3666666666666666,0.55,94.0,0.5
NUEx038,LH,auditory_naming,matched,1000,0.077,0.0239520958083832,0.0958083832335329,0.155688622754491,0.4191616766467065,0.6107784431137725,77.0,0.5
NUEx031,RB,auditory_naming,matched,1000,0.11,0.0273972602739726,0.0753424657534246,0.1164383561643835,0.3013698630136986,0.4657534246575342,110.0,0.5
NUEx036,WBH,auditory_naming,matched,1000,0.065,0.0135135135135135,0.072072072072072,0.1216216216216216,0.4504504504504504,0.6576576576576577,65.0,0.5
NUEx041,AA,auditory_naming,matched,2000,0.0375,0.0588235294117647,0.196078431372549,0.2352941176470588,0.4313725490196078,0.5686274509803921,75.0,0.5
NUEx044,AZ,auditory_naming,matched,2000,0.0535,0.0421052631578947,0.1157894736842105,0.1157894736842105,0.3157894736842105,0.4947368421052631,107.0,0.5
NUEx030,CP,auditory_naming,matched,2000,0.0775,0.0178571428571428,0.0892857142857142,0.1339285714285714,0.2946428571428571,0.4017857142857143,155.0,0.5
NUEx045,DR,auditory_naming,matched,2000,0.0385,0.0,0.0666666666666666,0.1333333333333333,0.4,0.5555555555555556,77.0,0.5
NUEx047,KAW,auditory_naming,matched,2000,0.06325,0.025,0.0416666666666666,0.075,0.3083333333333333,0.4333333333333333,126.5,0.5
NUEx038,LH,auditory_naming,matched,2000,0.053,0.0179640718562874,0.0898203592814371,0.1676646706586826,0.3712574850299401,0.4790419161676646,106.0,0.5
NUEx031,RB,auditory_naming,matched,2000,0.0745,0.0136986301369863,0.0684931506849315,0.1095890410958904,0.2534246575342466,0.3835616438356164,149.0,0.5
NUEx036,WBH,auditory_naming,matched,2000,0.043,0.009009009009009,0.072072072072072,0.1126126126126126,0.3693693693693693,0.5315315315315315,86.0,0.5
NUEx041,AA,auditory_naming,matched,5000,0.025,0.0588235294117647,0.1372549019607843,0.196078431372549,0.392156862745098,0.4509803921568627,125.0,0.5
NUEx044,AZ,auditory_naming,matched,5000,0.0302,0.031578947368421,0.0947368421052631,0.1368421052631579,0.2631578947368421,0.3789473684210526,151.0,0.5
NUEx030,CP,auditory_naming,matched,5000,0.0647,0.0089285714285714,0.0446428571428571,0.0714285714285714,0.1875,0.2232142857142857,323.5,0.5
NUEx045,DR,auditory_naming,matched,5000,0.0186,0.0222222222222222,0.0888888888888888,0.1333333333333333,0.3333333333333333,0.5111111111111111,93.0,0.5
NUEx047,KAW,auditory_naming,matched,5000,0.0423,0.0166666666666666,0.05,0.0583333333333333,0.25,0.3583333333333333,211.5,0.5
NUEx038,LH,auditory_naming,matched,5000,0.0304,0.0179640718562874,0.0778443113772455,0.1257485029940119,0.311377245508982,0.4191616766467065,152.0,0.5
NUEx031,RB,auditory_naming,matched,5000,0.0422,0.0136986301369863,0.0753424657534246,0.0958904109589041,0.2123287671232876,0.3150684931506849,211.0,0.5
NUEx036,WBH,auditory_naming,matched,5000,0.0284999999999999,0.009009009009009,0.072072072072072,0.1171171171171171,0.3063063063063063,0.4369369369369369,142.5,0.5
NUEx041,AA,auditory_naming,raw,200,0.15,0.0392156862745098,0.1568627450980392,0.2549019607843137,0.5490196078431373,0.7450980392156863,30.0,0.5
NUEx044,AZ,auditory_naming,raw,200,0.205,0.0105263157894736,0.1157894736842105,0.1578947368421052,0.5578947368421052,0.8315789473684211,41.0,0.5
NUEx030,CP,auditory_naming,raw,200,0.315,0.0089285714285714,0.0446428571428571,0.1339285714285714,0.3928571428571428,0.6785714285714286,63.0,0.5
NUEx045,DR,auditory_naming,raw,200,0.15,0.0444444444444444,0.1333333333333333,0.1777777777777777,0.6,0.8222222222222222,30.0,0.5
NUEx047,KAW,auditory_naming,raw,200,0.2625,0.0166666666666666,0.05,0.1166666666666666,0.4833333333333333,0.8166666666666667,52.5,0.5
NUEx038,LH,auditory_naming,raw,200,0.21,0.0239520958083832,0.1137724550898203,0.1616766467065868,0.5568862275449101,0.8143712574850299,42.0,0.5
NUEx031,RB,auditory_naming,raw,200,0.3175,0.0273972602739726,0.1095890410958904,0.1301369863013698,0.4315068493150685,0.726027397260274,63.5,0.5
NUEx036,WBH,auditory_naming,raw,200,0.185,0.009009009009009,0.0990990990990991,0.1711711711711711,0.6126126126126126,0.8153153153153153,37.0,0.5
NUEx041,AA,auditory_naming,raw,500,0.072,0.0588235294117647,0.1764705882352941,0.2352941176470588,0.5490196078431373,0.7450980392156863,36.0,0.5
NUEx044,AZ,auditory_naming,raw,500,0.11,0.031578947368421,0.1052631578947368,0.1263157894736842,0.4421052631578947,0.8,55.0,0.5
NUEx030,CP,auditory_naming,raw,500,0.183,0.0089285714285714,0.0625,0.1339285714285714,0.3482142857142857,0.5357142857142857,91.5,0.5
NUEx045,DR,auditory_naming,raw,500,0.092,0.0,0.1333333333333333,0.2,0.5555555555555556,0.7555555555555555,46.0,0.5
NUEx047,KAW,auditory_naming,raw,500,0.124,0.025,0.05,0.1,0.4166666666666667,0.7166666666666667,62.0,0.5
NUEx038,LH,auditory_naming,raw,500,0.116,0.0239520958083832,0.1077844311377245,0.1616766467065868,0.4730538922155688,0.7065868263473054,58.0,0.5
NUEx031,RB,auditory_naming,raw,500,0.16,0.0273972602739726,0.0684931506849315,0.1301369863013698,0.3424657534246575,0.5547945205479452,80.0,0.5
NUEx036,WBH,auditory_naming,raw,500,0.101,0.0135135135135135,0.081081081081081,0.1306306306306306,0.5,0.7657657657657657,50.5,0.5
NUEx041,AA,auditory_naming,raw,1000,0.044,0.0392156862745098,0.196078431372549,0.2352941176470588,0.5490196078431373,0.6666666666666666,44.0,0.5
NUEx044,AZ,auditory_naming,raw,1000,0.066,0.0421052631578947,0.1052631578947368,0.1263157894736842,0.4210526315789473,0.6736842105263158,66.0,0.5
NUEx030,CP,auditory_naming,raw,1000,0.1085,0.0267857142857142,0.0714285714285714,0.125,0.3392857142857143,0.4910714285714285,108.5,0.5
NUEx045,DR,auditory_naming,raw,1000,0.053,0.0,0.0888888888888888,0.2,0.4888888888888889,0.6444444444444445,53.0,0.5
NUEx047,KAW,auditory_naming,raw,1000,0.083,0.025,0.0416666666666666,0.1166666666666666,0.3916666666666666,0.6,83.0,0.5
NUEx038,LH,auditory_naming,raw,1000,0.072,0.0179640718562874,0.1017964071856287,0.1616766467065868,0.4431137724550898,0.6287425149700598,72.0,0.5
NUEx031,RB,auditory_naming,raw,1000,0.1055,0.0273972602739726,0.047945205479452,0.1232876712328767,0.3150684931506849,0.4794520547945205,105.5,0.5
NUEx036,WBH,auditory_naming,raw,1000,0.061,0.0135135135135135,0.0675675675675675,0.1216216216216216,0.4504504504504504,0.6756756756756757,61.0,0.5
NUEx041,AA,auditory_naming,raw,2000,0.035,0.0588235294117647,0.196078431372549,0.2352941176470588,0.4313725490196078,0.5686274509803921,70.0,0.5
NUEx044,AZ,auditory_naming,raw,2000,0.053,0.0421052631578947,0.1052631578947368,0.1157894736842105,0.3368421052631579,0.4842105263157895,106.0,0.5
NUEx030,CP,auditory_naming,raw,2000,0.081,0.0178571428571428,0.0803571428571428,0.1071428571428571,0.3035714285714285,0.3928571428571428,162.0,0.5
NUEx045,DR,auditory_naming,raw,2000,0.036,0.0,0.0888888888888888,0.1777777777777777,0.4,0.5555555555555556,72.0,0.5
NUEx047,KAW,auditory_naming,raw,2000,0.06575,0.025,0.0416666666666666,0.0833333333333333,0.325,0.4416666666666666,131.5,0.5
NUEx038,LH,auditory_naming,raw,2000,0.053,0.0179640718562874,0.0898203592814371,0.1616766467065868,0.3712574850299401,0.4910179640718562,106.0,0.5
NUEx031,RB,auditory_naming,raw,2000,0.08025,0.0205479452054794,0.0616438356164383,0.1027397260273972,0.2534246575342466,0.3767123287671233,160.5,0.5
NUEx036,WBH,auditory_naming,raw,2000,0.0405,0.009009009009009,0.072072072072072,0.1126126126126126,0.3648648648648648,0.5495495495495496,81.0,0.5
NUEx041,AA,auditory_naming,raw,5000,0.0266,0.0588235294117647,0.1372549019607843,0.2156862745098039,0.392156862745098,0.4313725490196078,133.0,0.5
NUEx044,AZ,auditory_naming,raw,5000,0.0328,0.031578947368421,0.1052631578947368,0.1368421052631579,0.2631578947368421,0.3789473684210526,164.0,0.5
NUEx030,CP,auditory_naming,raw,5000,0.0714,0.0089285714285714,0.0446428571428571,0.0714285714285714,0.1875,0.25,357.0,0.5
NUEx045,DR,auditory_naming,raw,5000,0.0194,0.0222222222222222,0.0666666666666666,0.1333333333333333,0.3333333333333333,0.5111111111111111,97.0,0.5
NUEx047,KAW,auditory_naming,raw,5000,0.0437,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.2333333333333333,0.3583333333333333,218.5,0.5
NUEx038,LH,auditory_naming,raw,5000,0.0332,0.0179640718562874,0.0838323353293413,0.1257485029940119,0.311377245508982,0.4251497005988024,166.0,0.5
NUEx031,RB,auditory_naming,raw,5000,0.051,0.0136986301369863,0.0684931506849315,0.0890410958904109,0.1986301369863013,0.3013698630136986,255.0,0.5
NUEx036,WBH,auditory_naming,raw,5000,0.0292,0.009009009009009,0.063063063063063,0.1126126126126126,0.3018018018018018,0.4369369369369369,146.0,0.5
