patient,task,variant,N,N_effective,median_rank,mean_rank,mean_percentile,median_percentile,MedR,MRR,top1,top5,top10,top50,top100,n_trials,n_excluded,N_gallery,chance_top1,chance_top5,chance_top10,chance_top50,chance_top100,chance_median_percentile
AA,auditory_naming,matched,200,200,33.0,56.13725490196079,0.28068627450980393,0.165,33.0,0.10947358400954714,0.0392156862745098,0.1568627450980392,0.27450980392156865,0.5490196078431373,0.7450980392156863,51,2,200,0.005,0.025,0.05,0.25,0.5,0.5
AZ,auditory_naming,matched,200,200,39.0,55.37894736842105,0.2768947368421053,0.195,39.0,0.07338349197956215,0.010526315789473684,0.10526315789473684,0.16842105263157894,0.5789473684210527,0.8315789473684211,95,9,200,0.005,0.025,0.05,0.25,0.5,0.5
CP,auditory_naming,matched,200,200,58.0,74.83035714285714,0.3741517857142857,0.29,58.0,0.05284330417133371,0.008928571428571428,0.08928571428571429,0.15178571428571427,0.41964285714285715,0.7053571428571429,112,24,200,0.005,0.025,0.05,0.25,0.5,0.5
DR,auditory_naming,matched,200,200,40.0,50.51111111111111,0.25255555555555553,0.2,40.0,0.1024799031705739,0.044444444444444446,0.13333333333333333,0.17777777777777778,0.6,0.8444444444444444,45,6,200,0.005,0.025,0.05,0.25,0.5,0.5
KAW,auditory_naming,matched,200,200,52.5,62.233333333333334,0.3111666666666667,0.2625,52.5,0.0585313665377829,0.016666666666666666,0.058333333333333334,0.10833333333333334,0.49166666666666664,0.7916666666666666,120,0,200,0.005,0.025,0.05,0.25,0.5,0.5
LH,auditory_naming,matched,200,200,43.0,59.73652694610779,0.29868263473053897,0.215,43.0,0.07769037395064735,0.023952095808383235,0.11377245508982035,0.16766467065868262,0.5748502994011976,0.7904191616766467,167,9,200,0.005,0.025,0.05,0.25,0.5,0.5
RB,auditory_naming,matched,200,200,54.5,65.26712328767124,0.3263356164383561,0.2725,54.5,0.07914103144784407,0.0273972602739726,0.1095890410958904,0.1506849315068493,0.4726027397260274,0.7602739726027398,146,18,200,0.005,0.025,0.05,0.25,0.5,0.5
WBH,auditory_naming,matched,200,200,37.5,55.869369369369366,0.27934684684684685,0.1875,37.5,0.07374541718721561,0.013513513513513514,0.1036036036036036,0.17567567567567569,0.5855855855855856,0.7972972972972973,222,47,200,0.005,0.025,0.05,0.25,0.5,0.5
AA,auditory_naming,matched,500,500,39.0,80.54901960784314,0.1610980392156863,0.078,39.0,0.1303230405722595,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.5490196078431373,0.6862745098039216,51,2,500,0.002,0.01,0.02,0.1,0.2,0.5
AZ,auditory_naming,matched,500,500,56.0,81.89473684210526,0.16378947368421054,0.112,56.0,0.080642077260547,0.031578947368421054,0.10526315789473684,0.12631578947368421,0.45263157894736844,0.7684210526315789,95,9,500,0.002,0.01,0.02,0.1,0.2,0.5
CP,auditory_naming,matched,500,500,88.5,127.74107142857143,0.2554821428571429,0.177,88.5,0.05590387001326279,0.017857142857142856,0.0625,0.125,0.35714285714285715,0.5714285714285714,112,24,500,0.002,0.01,0.02,0.1,0.2,0.5
DR,auditory_naming,matched,500,500,45.0,67.37777777777778,0.13475555555555555,0.09,45.0,0.06692926079067167,0.0,0.1111111111111111,0.2,0.5111111111111111,0.7333333333333333,45,6,500,0.002,0.01,0.02,0.1,0.2,0.5
KAW,auditory_naming,matched,500,500,68.0,93.83333333333333,0.1876666666666667,0.136,68.0,0.05863717493979273,0.025,0.05,0.1,0.39166666666666666,0.6916666666666667,120,0,500,0.002,0.01,0.02,0.1,0.2,0.5
